name_rus,name_eng,country,type
Александра Трусова,Alexandra TRUSOVA ,Россия,женщины
Алена Косторная ,Alena KOSTORNAIA ,Россия,женщины
Алиса Лю ,Alysa LIU  ,США,женщины
Анна Щербакова,Anna SHCHERBAKOVA ,Россия,женщины
Брэди Теннелл,Bradie TENNELL ,США,женщины
Вакаба Хигути ,Wakaba HIGUCHI  ,Япония,женщины
Виктория Сафонова ,Viktoriia SAFONOVA ,Беларусь,женщины
Дарья Усачева ,Daria USACHEVA,Россия,женщины
Екатерина Куракова ,Ekaterina KURAKOVA,Польша,женщины
Екатерина Рябова,Ekaterina RYABOVA ,Азербайджан,женщины
Елизавета Туктамышева,Elizaveta TUKTAMYSHEVA,Россия,женщины
Елим Ким ,Yelim KIM ,Корея,женщины
И Чжу,Yi ZHU ,Китай,женщины
Камила Валиева,Kamila VALIEVA ,Россия,женщины
Каори Сакамото ,Kaori SAKAMOTO,Япония,женщины
Карен Чен,Karen CHEN ,США,женщины
Ксения Синицына,Kseniia SINITSYNA  ,Россия,женщины
Лара Наки Гутманн,Lara Naki GUTMANN ,Италия,женщины
Леа Серна,Lea SERNA ,Франция,женщины
Лукреция Беккари,Lucrezia BECCARI ,Италия,женщины
Луна Хендрикс,Loena HENDRICKX ,Бельгия,женщины
Мадлен Скизас,Madeline SCHIZAS ,Канада,женщины
Маи Михара,Mai MIHARA  ,Япония,женщины
Майя Маццара,Maia MAZZARA  ,Франция,женщины
Майя Хромых,Maiia KHROMYKH ,Россия,женщины
Мана Кавабэ,Mana KAWABE  ,Япония,женщины
Маэ-Беренис Мейте,Mae Berenice MEITE ,Франция,женщины
Мэрайя Белл,Mariah BELL ,США,женщины
Николь Шотт ,Nicole SCHOTT ,Германия,женщины
Одри Шин,Audrey SHIN  ,США,женщины
Ольга Микутина,Olga MIKUTINA ,Австрия,женщины
Рика Кихира,Rika KIHIRA  ,Япония,женщины
Рино Мацуике,Rino MATSUIKE  ,Япония,женщины
Сатоко Мияхара,Satoko MIYAHARA  ,Япония,женщины
Со Ен Ви,Seoyeong WI  ,Корея,женщины
Софья Самодурова,Sofia SAMODUROVA  ,Россия,женщины
Старр Эндрюс,Starr ANDREWS  ,США,женщины
Хэ Ин Ли,Haein LEE ,Корея,женщины
Ын Су Лим ,Eunsoo LIM  ,Корея,женщины
Эва-Лотта Кийбус,Eva-Lotta KIIBUS  ,Эстония,женщины
Элисон Шумахер,Alison SCHUMACHER ,Канада,женщины
Эмбер Гленн,Amber GLENN,США,женщины
